season,week,observed_eliminated_name,pred_elim_prob_observed,top1_pred_name,top1_prob,top2_pred_name,top2_prob,top3_pred_name,top3_prob,is_observed_in_top2,notes
10,2,Shannen Doherty,0.09153172661863994,Buzz Aldrin,0.09457880313066039,Kate Gosselin,0.09359771859358171,Chad Ochocinco,0.09298913644538655,False,
10,3,Buzz Aldrin,0.10424017799095288,Buzz Aldrin,0.10424017799095288,Kate Gosselin,0.10345868106558745,Aiden Turner,0.10063748994222832,True,
10,4,Aiden Turner,0.11450556824618868,Kate Gosselin,0.1150207633587299,Aiden Turner,0.11450556824618868,Niecy Nash,0.11351903856616558,True,
10,5,Kate Gosselin,0.13087372255364305,Kate Gosselin,0.13087372255364305,Chad Ochocinco,0.12851895585910433,Niecy Nash,0.12849071465477122,True,
10,6,Jake Pavelka,0.14810100362590775,Jake Pavelka,0.14810100362590775,Niecy Nash,0.14719528854769384,Evan Lysacek,0.14653946425879194,True,
10,7,Pamela Anderson,0.16983097429675625,Niecy Nash,0.1721777227571554,Pamela Anderson,0.16983097429675625,Erin Andrews,0.16979870614583145,True,
10,8,Niecy Nash,0.2097091795163265,Niecy Nash,0.2097091795163265,Chad Ochocinco,0.20802163753667363,Erin Andrews,0.198704815962803,True,
10,9,Chad Ochocinco,0.26333481641233825,Chad Ochocinco,0.26333481641233825,Erin Andrews,0.254526141968475,Evan Lysacek,0.24124222640429951,True,
10,10,,,Evan Lysacek,0.3480501345548476,Erin Andrews,0.3472714019462083,Nicole Scherzinger,0.30467846349894323,False,
11,1,David Hasselhoff,0.0853384209596202,Margaret Cho,0.08541567900996544,David Hasselhoff,0.0853384209596202,The Situation,0.0852538544274668,True,
11,2,Michael Bolton,0.09471754952083755,Michael Bolton,0.09471754952083755,Margaret Cho,0.09254537465737515,The Situation,0.09231336445877156,True,
11,3,Margaret Cho,0.10303349074682833,Margaret Cho,0.10303349074682833,Bristol Palin,0.1023977852881297,Florence Henderson,0.10222615483962903,True,
11,4,The Situation,0.1153507949671881,The Situation,0.1153507949671881,Bristol Palin,0.11428899318028657,Kurt Warner,0.11386470726634607,True,
11,5,Florence Henderson,0.12806420796951393,Bristol Palin,0.1297728183105418,Kyle Massey,0.12837636860165214,Florence Henderson,0.12806420796951393,False,
11,6,Audrina Patridge,0.14071554538935613,Kurt Warner,0.15006629758088733,Bristol Palin,0.14542393949824287,Jennifer Grey,0.14421520031911872,False,
11,7,Rick Fox,0.16895957227036149,Bristol Palin,0.172407074502132,Kyle Massey,0.17092958469779512,Rick Fox,0.16895957227036149,False,
11,8,Kurt Warner,0.20853578073590687,Bristol Palin,0.20909241952602717,Kurt Warner,0.20853578073590687,Kyle Massey,0.19618249109398397,True,
11,9,Brandy,0.2524097749333147,Bristol Palin,0.26327279691259553,Brandy,0.2524097749333147,Kyle Massey,0.24886778929580555,True,
11,10,,,Bristol Palin,0.35417497918231394,Kyle Massey,0.34154274334073664,Jennifer Grey,0.30428227747694825,False,
12,1,,,Mike Catherwood,0.09406448797267615,Wendy Williams,0.09369165128350995,Sugar Ray Leonard,0.09242259039156751,False,
12,2,Mike Catherwood,0.09292594654661078,Mike Catherwood,0.09292594654661078,Wendy Williams,0.09292091682104192,Sugar Ray Leonard,0.09291755528275522,True,
12,3,Wendy Williams,0.10393952196864703,Wendy Williams,0.10393952196864703,Sugar Ray Leonard,0.10155820046818992,Romeo,0.10130307173054806,True,
12,4,Sugar Ray Leonard,0.11347429078405173,Kendra Wilkinson,0.11511317638058456,Sugar Ray Leonard,0.11347429078405173,Kirstie Alley,0.11248362969486783,True,
12,5,Petra Nemcova,0.1282931805766257,Petra Nemcova,0.1282931805766257,Kendra Wilkinson,0.12817997740304896,Ralph Macchio,0.12807353953316677,True,
12,6,Chris Jericho,0.1484456192705894,Chris Jericho,0.1484456192705894,Ralph Macchio,0.14616466551282786,Kendra Wilkinson,0.14499189670337567,True,
12,7,Kendra Wilkinson,0.17034629724750064,Romeo,0.17132080363499894,Kirstie Alley,0.17130764283183478,Kendra Wilkinson,0.17034629724750064,False,
12,8,Romeo,0.20088571333381616,Ralph Macchio,0.21000367410924478,Romeo,0.20088571333381616,Kirstie Alley,0.19914865082636485,True,
12,9,Ralph Macchio,0.26583799186108653,Ralph Macchio,0.26583799186108653,Kirstie Alley,0.2586696249685581,Hines Ward,0.2511288584857006,True,
12,10,,,Kirstie Alley,0.3524264548042131,Chelsea Kane,0.3240726880665916,Hines Ward,0.3235008571291958,False,
13,1,Metta World Peace (Ron),0.0854445702142211,Metta World Peace (Ron),0.0854445702142211,Elisabetta Canalis,0.08509260510783268,Nancy Grace,0.08488266474570957,True,
13,2,Elisabetta Canalis,0.09069678116599521,Chaz Bono,0.09329213883599144,Carson Kressley,0.09287589348810962,David Arquette,0.09281907073266132,False,
13,3,Kristin Cavallari,0.10006888336531625,Chaz Bono,0.10353891330910057,Nancy Grace,0.10235369983116265,Carson Kressley,0.10114663367803951,False,
13,4,Chynna Phillips,0.11358688352983924,Carson Kressley,0.11420147776992581,Nancy Grace,0.11371443173279669,Chaz Bono,0.11358712286726427,False,
13,5,Carson Kressley,0.1298323652622766,Carson Kressley,0.1298323652622766,Chaz Bono,0.1283629531944078,Nancy Grace,0.12770354882229526,True,
13,6,Chaz Bono,0.14875002859044292,Chaz Bono,0.14875002859044292,Hope Solo,0.147850991674082,Rob Kardashian,0.14544051956716036,True,
13,7,David Arquette,0.17064006905521584,Nancy Grace,0.1736952016726615,David Arquette,0.17064006905521584,J.R. Martinez,0.16863271118616152,True,
13,8,Nancy Grace,0.21123535059453658,Nancy Grace,0.21123535059453658,Rob Kardashian,0.20243709943349314,Hope Solo,0.20216434908293482,True,
13,9,Hope Solo,0.2673910974490863,Hope Solo,0.2673910974490863,J.R. Martinez,0.25700598942010255,Rob Kardashian,0.23938182436017713,True,
13,10,,,Ricki Lake,0.35088056635397263,J.R. Martinez,0.33761653811645126,Rob Kardashian,0.3115028955295772,False,
14,1,,,Gavin DeGraw,0.08499128941345462,Melissa Gilbert,0.08485312044293203,Martina Navratilova,0.08480267692725281,False,
14,2,Martina Navratilova,0.08561186989033467,Martina Navratilova,0.08561186989033467,Gladys Knight,0.08509639347699173,Melissa Gilbert,0.0846943852452739,True,
14,3,Jack Wagner,0.09244256997180071,Sherri Sheperd,0.09246958677683709,Gavin DeGraw,0.09245755585429782,Jack Wagner,0.09244256997180071,False,
14,4,Sherri Sheperd,0.10221633786550313,Gladys Knight,0.10258157049441122,Sherri Sheperd,0.10221633786550313,Jaleel White,0.10156015066251835,True,
14,5,Gavin DeGraw,0.11530980601138247,Gavin DeGraw,0.11530980601138247,Melissa Gilbert,0.1141319038138752,Gladys Knight,0.11370485899529964,True,
14,6,Gladys Knight,0.1303783891160123,Gladys Knight,0.1303783891160123,Roshon Fegan,0.12868941681397256,Maria Menounos,0.12734208237093603,True,
14,7,Jaleel White,0.1455645039438805,Melissa Gilbert,0.1478831344529756,Jaleel White,0.1455645039438805,Roshon Fegan,0.1449234936279274,True,
14,8,Melissa Gilbert,0.1727135329144903,Melissa Gilbert,0.1727135329144903,Maria Menounos,0.1707057818288076,Donald Driver,0.16679405524278895,True,
14,9,Maria Menounos,0.23639139391764763,Katherine Jenkins,0.260037290473002,Donald Driver,0.2561578002016359,William Levy,0.24741351540771378,False,
14,10,,,Donald Driver,0.34619876427882573,William Levy,0.34537497604126954,Katherine Jenkins,0.30842625967990495,False,
15,1,Pamela Anderson,0.07880300056188792,Pamela Anderson,0.07880300056188792,Kirstie Alley,0.07824646289056139,Bristol Palin,0.07802913078998146,True,
15,2,Joey Fatone,0.08398956910204203,Bristol Palin,0.0856754968095976,Kirstie Alley,0.0846981732867523,Kelly Monaco,0.08427253245723676,False,
15,3,Drew Lachey,0.09235156503763797,Bristol Palin,0.09306403012355034,Kirstie Alley,0.09236473991765581,Drew Lachey,0.09235156503763797,False,
15,4,Bristol Palin,0.11382084042079141,Kirstie Alley,0.114673947019397,Bristol Palin,0.11382084042079141,Apolo Anton Ohno,0.11281145186764938,True,
15,5,,,Kelly Monaco,0.12860789241830908,Kirstie Alley,0.12810821270741038,Emmitt Smith,0.12546809640334367,False,
15,6,Sabrina Bryan,0.12092828194669329,Emmitt Smith,0.12828045621220432,Kelly Monaco,0.12765986816215277,Kirstie Alley,0.1270408515309706,False,
15,7,,,Kirstie Alley,0.14914176481180139,Apolo Anton Ohno,0.14590647661395684,Gilles Marini,0.14512212296087762,False,
15,8,Gilles Marini,0.14141784514746605,Kirstie Alley,0.1481454492629444,Shawn Johnson,0.14452824963846436,Kelly Monaco,0.14421184032375595,False,
