contestant_id,celebrity_name,judge_total,p_mean,p_median,p_q025,p_q975,actual_eliminated,eval_week,season,week,judge_rank,fan_rank,sum_rank,k_actual_elim,predicted_eliminated,week_correct,predicted_elim_names,actual_elim_names,num_contestants
7,Stacy Keibler,27.5,0.3311618505889434,0.2955247385148878,0.0352067976884121,0.7780239188653609,False,True,2,7,1,1,2,1,False,False,Jerry Rice,Lisa Rinna,4
0,Ally Brooke,16.0,0.0629961234072906,0.0433716153962382,0.002529692247406,0.2306679260529059,False,True,28,1,7,5,12,0,False,True,,,12
1,Hannah Brown,20.0,0.1998575671601117,0.1644754618547234,0.0264154927897748,0.5425668813513126,False,True,28,1,2,2,4,0,False,True,,,12
2,James Van Der Beek,21.0,0.219523792071196,0.1670158450339929,0.0245762688205403,0.6831179609174703,False,True,28,1,1,1,2,0,False,True,,,12
3,Karamo Brown,17.0,0.0367172057192739,0.0286150723020591,0.0036464260336462,0.1165261548101651,False,True,28,1,5,9,14,0,False,True,,,12
4,Kate Flannery,15.0,0.028248113139055,0.0210098850526772,0.0014094930729319,0.0954951745511937,False,True,28,1,9,11,20,0,False,True,,,12
5,Kel Mitchell,16.0,0.0624021507140483,0.0430706761108848,0.0033041615329784,0.2365297554787168,False,True,28,1,7,6,13,0,False,True,,,12
6,Lamar Odom,11.0,0.0110841425963473,0.0074034975255021,9.874862496313698e-05,0.0435374404743591,False,True,28,1,12,12,24,0,False,True,,,12
7,Lauren Alaina,19.0,0.1760147898092956,0.1496365030491823,0.0193449780650443,0.4899571986481106,False,True,28,1,3,3,6,0,False,True,,,12
8,Mary Wilson,17.0,0.0744061881853493,0.0490103798412787,0.0056524143762976,0.3018312631592607,False,True,28,1,5,4,9,0,False,True,,,12
9,Ray Lewis,15.0,0.0436425571679347,0.0265928013733452,0.0017197629317277,0.1869667627047703,False,True,28,1,9,8,17,0,False,True,,,12
10,Sailor Brinkley-Cook,18.0,0.0339246140062797,0.0214379447831499,0.0035113588594309,0.1596617822825534,False,True,28,1,4,10,14,0,False,True,,,12
11,Sean Spicer,12.0,0.0511827560238175,0.0376447973732444,0.0002523429228297,0.1769785161674212,False,True,28,1,11,7,18,0,False,True,,,12
0,Ally Brooke,20.0,0.1020567348750985,0.0765753138773681,0.0078291797450988,0.3432378660241642,False,True,28,2,3,4,7,2,False,False,Lamar Odom; Ray Lewis,Mary Wilson; Ray Lewis,12
1,Hannah Brown,24.0,0.3183541232872869,0.2682596361346425,0.0495924402824977,0.837643210904115,False,True,28,2,1,1,2,2,False,False,Lamar Odom; Ray Lewis,Mary Wilson; Ray Lewis,12
2,James Van Der Beek,20.0,0.0845418042377309,0.0629891319242744,0.0096053618325648,0.2779409321714049,False,True,28,2,3,5,8,2,False,False,Lamar Odom; Ray Lewis,Mary Wilson; Ray Lewis,12
3,Karamo Brown,19.0,0.0373701246295613,0.0289164843096575,0.0031899321329976,0.1160143174821854,False,True,28,2,6,8,14,2,False,False,Lamar Odom; Ray Lewis,Mary Wilson; Ray Lewis,12
4,Kate Flannery,21.0,0.0803881234915938,0.06223107241899,0.0097335614847327,0.2660889828778262,False,True,28,2,2,6,8,2,False,False,Lamar Odom; Ray Lewis,Mary Wilson; Ray Lewis,12
5,Kel Mitchell,20.0,0.1025017794428197,0.0730605332299239,0.0093445872419853,0.3450325959817774,False,True,28,2,3,3,6,2,False,False,Lamar Odom; Ray Lewis,Mary Wilson; Ray Lewis,12
6,Lamar Odom,12.0,0.0100923773455797,0.006828926732122,6.635504444113508e-05,0.0396593921068437,False,True,28,2,12,12,24,2,True,False,Lamar Odom; Ray Lewis,Mary Wilson; Ray Lewis,12
7,Lauren Alaina,19.0,0.1043515744313543,0.0834984625399287,0.007067353690022,0.3353871239565653,False,True,28,2,6,2,8,2,False,False,Lamar Odom; Ray Lewis,Mary Wilson; Ray Lewis,12
8,Mary Wilson,15.0,0.0323889403274619,0.0175136609296389,0.0006226826993025,0.1461037675728737,True,True,28,2,10,9,19,2,False,False,Lamar Odom; Ray Lewis,Mary Wilson; Ray Lewis,12
9,Ray Lewis,15.0,0.0309097227231961,0.0166703753831614,0.0004675824960737,0.1461040329484652,True,True,28,2,10,10,20,2,True,False,Lamar Odom; Ray Lewis,Mary Wilson; Ray Lewis,12
10,Sailor Brinkley-Cook,18.0,0.0189912653084459,0.0124173378173933,0.0015935874636166,0.077604296840071,False,True,28,2,8,11,19,2,False,False,Lamar Odom; Ray Lewis,Mary Wilson; Ray Lewis,12
11,Sean Spicer,16.0,0.0780534298998706,0.0637306070485057,0.0010630012247036,0.2371901961292232,False,True,28,2,9,7,16,2,False,False,Lamar Odom; Ray Lewis,Mary Wilson; Ray Lewis,12
0,Ally Brooke,24.0,0.2041023087384892,0.163536124792957,0.0290816433760427,0.6079122993247305,False,True,28,3,1,1,2,0,False,True,,,10
1,Hannah Brown,21.0,0.1294041228229489,0.1009817408796424,0.0108805284137404,0.4052131744202497,False,True,28,3,5,4,9,0,False,True,,,10
2,James Van Der Beek,23.0,0.1442106588066646,0.1133666295172514,0.0190020665838066,0.4277597849219251,False,True,28,3,3,2,5,0,False,True,,,10
3,Karamo Brown,16.0,0.020946732980829,0.0157680695712094,0.000673156548455,0.0710558313615578,False,True,28,3,8,9,17,0,False,True,,,10
4,Kate Flannery,24.0,0.1331008876397583,0.0981280414489923,0.018295006233912,0.4574516171967233,False,True,28,3,1,3,4,0,False,True,,,10
5,Kel Mitchell,20.0,0.0934740199398543,0.0663226783749115,0.0075940083506906,0.3106148565530507,False,True,28,3,6,6,12,0,False,True,,,10
6,Lamar Odom,12.0,0.0136210750711516,0.0094237660705256,0.0001400303320158,0.0521431163209518,False,True,28,3,10,10,20,0,False,True,,,10
7,Lauren Alaina,20.0,0.1220893668660057,0.0994489030272691,0.0101452971406291,0.3809146783772983,False,True,28,3,6,5,11,0,False,True,,,10
10,Sailor Brinkley-Cook,23.0,0.0606158239361922,0.034931523716784,0.0066281517803112,0.3090939876142934,False,True,28,3,3,8,11,0,False,True,,,10
11,Sean Spicer,15.0,0.0784350031981056,0.0655814921891094,0.0007320983979012,0.2428723618285858,False,True,28,3,9,7,16,0,False,True,,,10
0,Ally Brooke,32.0,0.1674887661041086,0.1303747088197303,0.0208274155516121,0.5058068910161843,False,True,28,4,1,4,5,1,False,True,Lamar Odom,Lamar Odom,10
1,Hannah Brown,32.0,0.1869603074639031,0.1559662299598922,0.0201165495144707,0.5452499074663505,False,True,28,4,1,2,3,1,False,True,Lamar Odom,Lamar Odom,10
2,James Van Der Beek,28.0,0.0679653348790253,0.0517077000523498,0.0065157631839596,0.2224546232627219,False,True,28,4,6,5,11,1,False,True,Lamar Odom,Lamar Odom,10
3,Karamo Brown,28.0,0.0383346026364685,0.029843079660452,0.0035702858018271,0.1230003212664248,False,True,28,4,6,8,14,1,False,True,Lamar Odom,Lamar Odom,10
4,Kate Flannery,26.0,0.0343318352869943,0.0270849432110069,0.0023789127189673,0.1101686996041886,False,True,28,4,8,9,17,1,False,True,Lamar Odom,Lamar Odom,10
5,Kel Mitchell,32.0,0.1691955934204235,0.1263813122730799,0.0197031616941827,0.5334793804118256,False,True,28,4,1,3,4,1,False,True,Lamar Odom,Lamar Odom,10
6,Lamar Odom,20.0,0.013688081611438,0.0095584128348502,0.0001812183280639,0.0519800505995598,True,True,28,4,10,10,20,1,True,True,Lamar Odom,Lamar Odom,10
7,Lauren Alaina,32.0,0.2149154955167384,0.1884845206791151,0.0254406858119813,0.5649436399614437,False,True,28,4,1,1,2,1,False,True,Lamar Odom,Lamar Odom,10
10,Sailor Brinkley-Cook,31.0,0.048105141231113,0.0286742892183881,0.0051522966160673,0.2365878651104348,False,True,28,4,5,7,12,1,False,True,Lamar Odom,Lamar Odom,10
11,Sean Spicer,21.0,0.0590148418497868,0.0448215144336293,0.0003260138709429,0.1943708633098514,False,True,28,4,9,6,15,1,False,True,Lamar Odom,Lamar Odom,10
0,Ally Brooke,27.0,0.2527641659468663,0.2074761424486291,0.038086012087785,0.7101187038146214,False,True,28,5,1,1,2,0,False,True,,,9
1,Hannah Brown,25.0,0.1506425211181263,0.1200947751878346,0.011833204350991,0.4717569215578572,False,True,28,5,4,4,8,0,False,True,,,9
2,James Van Der Beek,26.0,0.1547171644378245,0.1227243778862379,0.0228645938145912,0.4693561324026455,False,True,28,5,2,3,5,0,False,True,,,9
3,Karamo Brown,21.0,0.0189182142435666,0.0139039626286321,0.0004608043729849,0.0684136311854803,False,True,28,5,8,9,17,0,False,True,,,9
4,Kate Flannery,24.0,0.0565437199423669,0.045748206577937,0.0053991957245093,0.1750091015055437,False,True,28,5,5,6,11,0,False,True,,,9
5,Kel Mitchell,26.0,0.1836211416563167,0.1404666530593693,0.0225341394502602,0.5700840511024328,False,True,28,5,2,2,4,0,False,True,,,9
7,Lauren Alaina,23.0,0.0976435543386503,0.0726698980148043,0.0051656170782513,0.3340753474301711,False,True,28,5,7,5,12,0,False,True,,,9
10,Sailor Brinkley-Cook,24.0,0.0309552193811055,0.0202277295231254,0.0030143877111434,0.1369890804440525,False,True,28,5,5,8,13,0,False,True,,,9
11,Sean Spicer,19.0,0.0541942989351766,0.0402785576311805,0.000160105353941,0.1887006275680271,False,True,28,5,9,7,16,0,False,True,,,9
0,Ally Brooke,25.0,0.0950473358693395,0.0699555688120678,0.0049949188930982,0.3157477019158536,False,True,28,6,6,5,11,1,False,False,Sean Spicer,Sailor Brinkley-Cook,9
1,Hannah Brown,24.0,0.0795721469137084,0.0574922967764354,0.002362361649104,0.3026371647680502,False,True,28,6,8,7,15,1,False,False,Sean Spicer,Sailor Brinkley-Cook,9
2,James Van Der Beek,27.0,0.1904981489454518,0.151417571474122,0.0253988137789359,0.5615249536720847,False,True,28,6,1,1,2,1,False,False,Sean Spicer,Sailor Brinkley-Cook,9
3,Karamo Brown,25.0,0.0437098974127289,0.0341083256969841,0.0040417693606517,0.1320627259647214,False,True,28,6,6,9,15,1,False,False,Sean Spicer,Sailor Brinkley-Cook,9
4,Kate Flannery,27.0,0.1392682394827143,0.1054239384664008,0.0198837177911325,0.4511315871490721,False,True,28,6,1,4,5,1,False,False,Sean Spicer,Sailor Brinkley-Cook,9
5,Kel Mitchell,26.0,0.1397618517511424,0.106549778030567,0.0162493833333161,0.4426399157861299,False,True,28,6,4,3,7,1,False,False,Sean Spicer,Sailor Brinkley-Cook,9
7,Lauren Alaina,26.0,0.1811786973916647,0.155904211824478,0.0208228175344045,0.4826219779512754,False,True,28,6,4,2,6,1,False,False,Sean Spicer,Sailor Brinkley-Cook,9
10,Sailor Brinkley-Cook,27.0,0.0802557794420347,0.0461932816030844,0.0088330184141619,0.3772426507840494,True,True,28,6,1,6,7,1,False,False,Sean Spicer,Sailor Brinkley-Cook,9
11,Sean Spicer,21.0,0.0507079027912149,0.0369811718513727,0.0001029148964262,0.176202308870193,False,True,28,6,9,8,17,1,True,False,Sean Spicer,Sailor Brinkley-Cook,9
0,Ally Brooke,27.0,0.1956065831845255,0.1578821510041545,0.0269234110731754,0.5651035934224189,False,True,28,7,1,2,3,1,False,True,Karamo Brown,Karamo Brown,8
1,Hannah Brown,26.0,0.1502173746583101,0.1228465495301871,0.0127055632357722,0.4597704666899592,False,True,28,7,4,4,8,1,False,True,Karamo Brown,Karamo Brown,8
2,James Van Der Beek,27.0,0.1707906597751986,0.1320595014117165,0.0241682655160274,0.5050662454101265,False,True,28,7,1,3,4,1,False,True,Karamo Brown,Karamo Brown,8
3,Karamo Brown,24.5,0.0340467601643718,0.0263466221044378,0.0025770700280321,0.113697521313447,True,True,28,7,6,8,14,1,True,True,Karamo Brown,Karamo Brown,8
4,Kate Flannery,24.0,0.0361168841447647,0.0280589397654412,0.0022582235875016,0.1183502414327084,False,True,28,7,7,7,14,1,False,True,Karamo Brown,Karamo Brown,8
5,Kel Mitchell,25.5,0.1085412063519368,0.0777144143794955,0.0096254095102826,0.3686974409547795,False,True,28,7,5,5,10,1,False,True,Karamo Brown,Karamo Brown,8
7,Lauren Alaina,27.0,0.2539288286389364,0.2242263622205073,0.0320806993184612,0.6477026446989366,False,True,28,7,1,1,2,1,False,True,Karamo Brown,Karamo Brown,8
11,Sean Spicer,21.0,0.0507517030819557,0.0355340006511061,0.0001347681556611,0.1757180353865949,False,True,28,7,8,6,14,1,False,True,Karamo Brown,Karamo Brown,8
0,Ally Brooke,30.0,0.1714544202861011,0.1358632263361468,0.0210690006423803,0.5173634508575907,False,True,28,8,3,4,7,1,False,False,Sean Spicer,Kate Flannery,7
1,Hannah Brown,30.9998,0.2328585032039103,0.2009250593566499,0.026767638931735,0.6234880100436742,False,True,28,8,2,1,3,1,False,False,Sean Spicer,Kate Flannery,7
2,James Van Der Beek,31.9998,0.2239772689413323,0.1872536990229811,0.0295765936629313,0.6487833822985237,False,True,28,8,1,2,3,1,False,False,Sean Spicer,Kate Flannery,7
4,Kate Flannery,25.9998,0.0488101668972669,0.0384150329547859,0.0036942194121822,0.1525526121313904,True,True,28,8,5,7,12,1,False,False,Sean Spicer,Kate Flannery,7
5,Kel Mitchell,29.9998,0.1735602905207158,0.1327727057224036,0.0187653169625188,0.5347027920023495,False,True,28,8,4,3,7,1,False,False,Sean Spicer,Kate Flannery,7
7,Lauren Alaina,24.0,0.0825731976447933,0.0594174596045938,0.0027707867161111,0.3028037477540988,False,True,28,8,6,5,11,1,False,False,Sean Spicer,Kate Flannery,7
11,Sean Spicer,20.0,0.06676615250588,0.0507878618311246,0.0003093378912646,0.2259252456862343,False,True,28,8,7,6,13,1,True,False,Sean Spicer,Kate Flannery,7
0,Ally Brooke,40.0,0.2985798732204289,0.2508905992885968,0.0445828240968987,0.7877134697344662,False,True,28,9,1,1,2,1,False,True,Sean Spicer,Sean Spicer,6
1,Hannah Brown,35.5,0.1608594666753844,0.1303398711286896,0.0121879797662396,0.5010230261716986,False,True,28,9,4,4,8,1,False,True,Sean Spicer,Sean Spicer,6
2,James Van Der Beek,36.0,0.1271268012737169,0.0968425215924015,0.0175249408678874,0.3875159454796737,False,True,28,9,3,5,8,1,False,True,Sean Spicer,Sean Spicer,6
5,Kel Mitchell,37.0,0.1806767767931026,0.139987558019253,0.0207875985195578,0.5593024291609052,False,True,28,9,2,2,4,1,False,True,Sean Spicer,Sean Spicer,6
7,Lauren Alaina,35.0,0.1673516686225511,0.1385350856023784,0.0140751810981925,0.4819029159338713,False,True,28,9,5,3,8,1,False,True,Sean Spicer,Sean Spicer,6
11,Sean Spicer,25.0,0.0654054134148161,0.0474494719129985,0.0002493401104694,0.2167024133759713,True,True,28,9,6,6,12,1,True,True,Sean Spicer,Sean Spicer,6
